customer_id,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,tenure,is_senior,has_partner,has_dependents
0003-MKNFE,2,1,0,Mailed check,59.9,542.4,FALSE,FALSE,TRUE,TRUE,TRUE,9.06,FALSE,FALSE,FALSE
0004-TLHLJ,1,2,0,Electronic check,73.9,280.85,FALSE,TRUE,TRUE,TRUE,TRUE,3.8,FALSE,FALSE,FALSE
0011-IGKFF,1,2,0,Electronic check,98,1237.85,FALSE,TRUE,TRUE,TRUE,TRUE,12.63,TRUE,TRUE,FALSE
0013-EXCHZ,1,2,0,Mailed check,83.9,267.4,TRUE,TRUE,TRUE,TRUE,TRUE,3.19,TRUE,TRUE,FALSE
0013-MHZWF,1,1,0,Credit card (automatic),69.4,571.45,TRUE,FALSE,TRUE,TRUE,TRUE,8.23,FALSE,FALSE,TRUE
0015-UOCOJ,1,1,0,Electronic check,48.2,340.35,TRUE,FALSE,TRUE,TRUE,TRUE,7.06,TRUE,FALSE,FALSE
0018-NYROU,1,2,0,Electronic check,68.95,351.5,TRUE,FALSE,TRUE,TRUE,TRUE,5.1,FALSE,TRUE,FALSE
0021-IKXGC,2,2,0,Electronic check,72.1,72.1,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE,FALSE,FALSE
0023-HGHWL,0,1,0,Electronic check,25.1,25.1,FALSE,TRUE,FALSE,TRUE,FALSE,1,TRUE,FALSE,FALSE
0023-XUOPT,2,2,0,Electronic check,94.1,1215.6,TRUE,TRUE,TRUE,TRUE,TRUE,12.92,FALSE,TRUE,FALSE
0027-KWYKW,2,2,0,Electronic check,83.75,1849.95,TRUE,FALSE,TRUE,TRUE,TRUE,22.09,FALSE,TRUE,TRUE
0030-FNXPP,1,0,0,Mailed check,19.85,57.2,TRUE,FALSE,TRUE,FALSE,FALSE,2.88,FALSE,FALSE,FALSE
0031-PVLZI,1,0,0,Mailed check,20.35,76.35,TRUE,TRUE,TRUE,FALSE,FALSE,3.75,FALSE,TRUE,TRUE
0032-PGELS,0,1,0,Bank transfer (automatic),30.5,30.5,TRUE,TRUE,FALSE,TRUE,FALSE,1,FALSE,TRUE,TRUE
0058-EVZWM,2,2,0,Bank transfer (automatic),89.8,4959.6,TRUE,FALSE,TRUE,TRUE,TRUE,55.23,FALSE,TRUE,FALSE
0060-FUALY,2,2,0,Electronic check,94.75,5597.65,TRUE,FALSE,TRUE,TRUE,TRUE,59.08,FALSE,TRUE,FALSE
0064-YIJGF,2,2,0,Bank transfer (automatic),75.75,1929,FALSE,FALSE,TRUE,TRUE,TRUE,25.47,FALSE,TRUE,TRUE
0067-DKWBL,1,1,0,Electronic check,49.25,91.1,FALSE,TRUE,TRUE,TRUE,TRUE,1.85,TRUE,FALSE,FALSE
0076-LVEPS,0,1,0,Mailed check,45,1242.45,FALSE,FALSE,FALSE,TRUE,FALSE,27.61,FALSE,FALSE,TRUE
0082-LDZUE,1,1,0,Mailed check,44.3,44.3,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE
0082-OQIQY,1,2,0,Electronic check,94.2,2607.6,FALSE,FALSE,TRUE,TRUE,TRUE,27.68,FALSE,FALSE,FALSE
0089-IIQKO,2,2,0,Credit card (automatic),99.95,3767.4,TRUE,FALSE,TRUE,TRUE,TRUE,37.69,FALSE,TRUE,TRUE
0093-EXYQL,1,2,0,Electronic check,91.55,3673.6,TRUE,FALSE,TRUE,TRUE,TRUE,40.13,TRUE,FALSE,FALSE
0093-XWZFY,2,2,0,Credit card (automatic),104.5,4036.85,FALSE,TRUE,TRUE,TRUE,TRUE,38.63,FALSE,FALSE,FALSE
0094-OIFMO,1,2,0,Electronic check,95,1120.3,TRUE,TRUE,TRUE,TRUE,TRUE,11.79,TRUE,FALSE,FALSE
0096-BXERS,2,1,0,Electronic check,50.35,314.55,TRUE,FALSE,TRUE,TRUE,TRUE,6.25,FALSE,TRUE,FALSE
0096-FCPUF,2,1,0,Mailed check,64.5,1888.45,FALSE,FALSE,TRUE,TRUE,TRUE,29.28,FALSE,FALSE,FALSE
0098-BOWSO,1,0,0,Electronic check,19.4,529.8,FALSE,FALSE,TRUE,FALSE,FALSE,27.31,FALSE,FALSE,FALSE
0106-GHRQR,2,1,0,Bank transfer (automatic),71.4,1212.1,FALSE,FALSE,TRUE,TRUE,TRUE,16.98,FALSE,FALSE,FALSE
0107-WESLM,1,0,0,Electronic check,19.85,19.85,FALSE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE
0107-YHINA,2,2,0,Electronic check,99.75,99.75,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,TRUE
0111-KLBQG,1,2,0,Mailed check,93.95,2861.45,FALSE,FALSE,TRUE,TRUE,TRUE,30.46,TRUE,TRUE,TRUE
0112-QAWRZ,2,2,0,Bank transfer (automatic),90.8,1442.2,FALSE,FALSE,TRUE,TRUE,TRUE,15.88,FALSE,TRUE,TRUE
0114-PEGZZ,2,2,0,Electronic check,107.55,3645.5,TRUE,FALSE,TRUE,TRUE,TRUE,33.9,FALSE,FALSE,FALSE
0114-RSRRW,1,0,0,Bank transfer (automatic),19.95,187.75,TRUE,FALSE,TRUE,FALSE,FALSE,9.41,FALSE,TRUE,FALSE
0115-TFERT,2,2,0,Electronic check,111.2,2317.1,FALSE,TRUE,TRUE,TRUE,TRUE,20.84,FALSE,TRUE,FALSE
0117-LFRMW,0,1,0,Bank transfer (automatic),40.2,1448.8,FALSE,TRUE,FALSE,TRUE,FALSE,36.04,FALSE,TRUE,TRUE
0118-JPNOY,1,2,0,Credit card (automatic),85.8,2193.65,TRUE,FALSE,TRUE,TRUE,TRUE,25.57,TRUE,FALSE,FALSE
0122-OAHPZ,2,2,0,Electronic check,73.85,511.25,TRUE,TRUE,TRUE,TRUE,TRUE,6.92,FALSE,FALSE,FALSE
0125-LZQXK,1,2,0,Electronic check,101.35,1553.95,FALSE,TRUE,TRUE,TRUE,TRUE,15.33,FALSE,FALSE,FALSE
0128-MKWSG,0,1,0,Mailed check,45.8,1147,TRUE,FALSE,FALSE,TRUE,FALSE,25.04,FALSE,FALSE,TRUE
0129-KPTWJ,1,2,0,Electronic check,94.65,6747.35,FALSE,FALSE,TRUE,TRUE,TRUE,71.29,FALSE,TRUE,FALSE
0130-SXOUN,2,2,0,Credit card (automatic),89.4,5976.9,FALSE,FALSE,TRUE,TRUE,TRUE,66.86,FALSE,FALSE,FALSE
0133-BMFZO,1,2,0,Electronic check,86.25,181.65,TRUE,TRUE,TRUE,TRUE,TRUE,2.11,FALSE,FALSE,FALSE
0135-NMXAP,2,2,0,Bank transfer (automatic),89.75,1052.4,TRUE,TRUE,TRUE,TRUE,TRUE,11.73,FALSE,FALSE,FALSE
0137-OCGAB,2,2,0,Mailed check,80.2,80.2,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE
0137-UDEUO,1,0,0,Mailed check,19.85,63.75,TRUE,TRUE,TRUE,FALSE,FALSE,3.21,FALSE,FALSE,FALSE
0139-IVFJG,1,2,0,Electronic check,90.35,190.5,TRUE,FALSE,TRUE,TRUE,TRUE,2.11,FALSE,TRUE,FALSE
0141-YEAYS,2,2,0,Bank transfer (automatic),86.45,2401.05,TRUE,FALSE,TRUE,TRUE,TRUE,27.77,TRUE,FALSE,FALSE
0142-GVYSN,1,0,0,Electronic check,20.3,511.25,FALSE,FALSE,TRUE,FALSE,FALSE,25.18,FALSE,FALSE,FALSE
0147-ESWWR,2,2,0,Electronic check,101.25,3949.15,TRUE,FALSE,TRUE,TRUE,TRUE,39,TRUE,TRUE,FALSE
0148-DCDOS,2,2,0,Bank transfer (automatic),94.7,2362.1,FALSE,TRUE,TRUE,TRUE,TRUE,24.94,FALSE,FALSE,FALSE
0151-ONTOV,1,2,0,Mailed check,70.9,70.9,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE
0156-FVPTA,1,1,0,Electronic check,54.2,1152.7,FALSE,TRUE,TRUE,TRUE,TRUE,21.27,FALSE,TRUE,FALSE
